source,target,weight,layer
BRCA2,FSBP,0.838,DEG_T2D
BRCA2,RBBP8,0.983,DEG_T2D
BRCA2,EMSY,0.997,DEG_T2D
BRF1,POLR3B,0.974,DEG_T2D
BRF1,GTF2E1,0.71,DEG_T2D
BRF1,POLR2K,0.939,DEG_T2D
BUB1B,PPP2R5B,0.811,DEG_T2D
BUB1B,ZW10,0.928,DEG_T2D
BUB1B,RAD51AP1,0.747,DEG_T2D
BUB1B,NUP107,0.71,DEG_T2D
BUB1B,FBXO5,0.739,DEG_T2D
BUB1B,KIF23,0.926,DEG_T2D
BUB1B,KIF18A,0.913,DEG_T2D
BUB1B,SPDL1,0.958,DEG_T2D
BUB1B,TP53,0.745,DEG_T2D
BUB1B,CENPC,0.77,DEG_T2D
BUB1B,PHC1,0.735,DEG_T2D
BUB1B,CLASP2,0.742,DEG_T2D
BUB1B,CUL7,0.821,DEG_T2D
BUB1B,CKAP5,0.823,DEG_T2D
BUB1B,KNTC1,0.921,DEG_T2D
BUB1B,MIS12,0.933,DEG_T2D
BUB1B,TPX2,0.936,DEG_T2D
BUB1B,CDCA8,0.994,DEG_T2D
BUB1B,ZWINT,0.996,DEG_T2D
BUB1B,MAD2L1,0.999,DEG_T2D
BUB1B,KNL1,0.999,DEG_T2D
C1S,SERPING1,0.999,DEG_T2D
C1S,KNG1,0.746,DEG_T2D
C1S,COLEC11,0.851,DEG_T2D
C3AR1,CSF1R,0.754,DEG_T2D
C4BPB,CFI,0.812,DEG_T2D
CACNA1D,GNB3,0.716,DEG_T2D
CACNA1D,TMEM262,0.745,DEG_T2D
CACNA1D,CATSPERG,0.752,DEG_T2D
CACNA1D,CACNA1E,0.787,DEG_T2D
CACNA1D,KCNJ5,0.806,DEG_T2D
CACNA1D,CACNA2D3,0.876,DEG_T2D
CACNA1D,NOS1,0.918,DEG_T2D
CACNA1D,CALML3,0.99,DEG_T2D
CACNA1E,CACNA2D3,0.896,DEG_T2D
CACNA2D3,PPP2R2B,0.703,DEG_T2D
CALCR,RAMP1,0.999,DEG_T2D
CALCR,NFATC1,0.781,DEG_T2D
CALD1,MYL9,0.844,DEG_T2D
CALD1,ITGA1,0.716,DEG_T2D
CALD1,CALML3,0.996,DEG_T2D
CALML3,PVALB,0.776,DEG_T2D
CALML3,PDE1B,0.971,DEG_T2D
CALML3,PIK3C3,0.976,DEG_T2D
CALML3,INVS,0.786,DEG_T2D
CALML3,SLC9A1,0.936,DEG_T2D
CALML3,ENPEP,0.782,DEG_T2D
CALML3,MYBPC2,0.701,DEG_T2D
CALML3,MYO7A,0.734,DEG_T2D
CALML3,FKBP8,0.744,DEG_T2D
CALML3,PLCB1,0.751,DEG_T2D
CALML3,NFATC1,0.786,DEG_T2D
CALML3,PLA2G6,0.787,DEG_T2D
CALML3,JAK2,0.795,DEG_T2D
CALML3,POMC,0.83,DEG_T2D
CALML3,STRN4,0.84,DEG_T2D
CALML3,FGF17,0.84,DEG_T2D
CALML3,MYBPC3,0.889,DEG_T2D
CALML3,DAPK3,0.896,DEG_T2D
CALML3,MYO10,0.91,DEG_T2D
CALML3,UNC13A,0.911,DEG_T2D
CALML3,GJB1,0.936,DEG_T2D
CALML3,NRAS,0.958,DEG_T2D
CALML3,GRIN1,0.96,DEG_T2D
CALML3,KCNQ2,0.965,DEG_T2D
CALML3,SCN5A,0.974,DEG_T2D
CALML3,NOS1,0.999,DEG_T2D
CAMKMT,EZH2,0.824,DEG_T2D
CAMKMT,SUV39H2,0.812,DEG_T2D
CAMKMT,SMYD2,0.826,DEG_T2D
CAMKMT,EHMT1,0.787,DEG_T2D
CASP7,RIPK1,0.744,DEG_T2D
